epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,189.52,1.03025,2.86544,1.14774,0.26023,0.83505,0.68034,0.45863,1.02561,3.33837,1.2392,0.000648649,0.000648649,0.000648649
2,370.042,1.04893,2.04927,1.13963,0.90456,0.58763,0.79038,0.49774,1.11377,2.92903,1.21899,0.0011851,0.0011851,0.0011851
3,553.655,1.08697,1.8392,1.17499,0.86012,0.6701,0.77953,0.512,1.31536,2.27039,1.46684,0.00158955,0.00158955,0.00158955
4,744.434,1.08972,1.66131,1.19065,0.83419,0.77801,0.8226,0.52599,1.16234,1.9357,1.27411,0.001406,0.001406,0.001406
5,935.538,1.03582,1.47133,1.13447,0.91667,0.79385,0.88657,0.63291,1.0091,1.66559,1.18584,0.001208,0.001208,0.001208
6,1120.52,0.95557,1.30672,1.09703,0.93947,0.80003,0.86253,0.66022,0.9262,1.43233,1.10486,0.00101,0.00101,0.00101
7,1300.24,0.86544,1.13813,1.05134,0.92938,0.81407,0.91616,0.6897,0.86413,1.14775,1.07383,0.000812,0.000812,0.000812
8,1479.79,0.81805,1.00728,1.04757,0.96982,0.81959,0.93914,0.74173,0.77359,1.08613,1.0316,0.000614,0.000614,0.000614
9,1659.72,0.75573,0.95185,1.01489,0.91399,0.87647,0.9448,0.77937,0.69359,0.95084,1.00646,0.000416,0.000416,0.000416
10,1839.11,0.65509,0.874,0.95871,0.90859,0.92228,0.95781,0.80858,0.63029,0.86353,0.99377,0.000218,0.000218,0.000218
